t_s,L_tau_ref,R_tau_ref,L_tau_pfimu,R_tau_pfimu
102.2092,-0.26151550752161584,-0.8848319422423264,-0.21768970787525177,-1.0149688720703125
102.2192,-0.2855035980135245,-1.4473555893635033,-0.20071879029273987,-1.2545032501220703
102.2292,-0.2804571900232519,-0.7865958781732745,-0.1921452134847641,-0.5087484121322632
102.2392,-0.27486310082372867,1.558807387810415,-0.1882455050945282,1.966526985168457
102.2492,-0.3569514874602887,1.3551366146644792,-0.23619845509529114,1.7598576545715332
102.2592,0.49960699649223206,1.1609045595503567,0.31571003794670105,1.5543408393859863
102.2692,0.31931480904048176,1.1753142695961134,0.196644127368927,-3.1784183979034424
102.2792,0.24113708660392458,1.9854577217331244,0.1693321019411087,-3.1437416076660156
102.2892,0.3099065420259336,-2.3895700511372353,0.23719897866249084,-2.9547131061553955
102.2992,0.3649980410058014,-2.0857927489851744,0.2956116497516632,-2.537917137145996
102.3117,0.4201814866051673,-1.8424389438745825,0.345424622297287,-2.2029056549072266
102.3217,0.41480790141948015,-1.9037473604521211,0.337790846824646,-2.2383506298065186
102.3317,0.40541397001092155,-1.951141738407724,0.324196457862854,-2.287405252456665
102.3417,0.4153850806637089,-1.9847559776322479,0.3481297194957733,-2.3217663764953613
102.3517,0.4138656781600859,-1.3774492302535273,0.3606639504432678,-1.5589536428451538
102.3617,0.39163791771742795,-1.3096943863490107,0.3458336889743805,-1.3650163412094116
102.3717,0.3778373357608067,-0.7771023936447541,0.31562432646751404,-0.628429114818573
102.3817,0.3191101360180593,-0.836936529267992,0.25194039940834045,-0.6761907935142517
102.3917,0.24687469986546828,-0.7131358167624671,0.1676272302865982,-0.5043208003044128
102.4017,0.25494224468785903,-0.7414717791448481,0.2335682511329651,-0.521088719367981
102.4142,0.1637950945894261,-0.5020439375965801,0.1604418009519577,-0.2208511084318161
102.4242,0.16930186996755583,-0.5096770894440286,0.1730172038078308,-0.2370300590991974
102.4342,0.15382410684695677,-0.5412061529224295,0.16408540308475494,-0.2863500416278839
102.4442,0.18985516720518686,-0.5723522752646697,0.21196387708187103,-0.3373921811580658
102.4542,0.09656022646365442,-0.5638631383609018,0.11392001062631607,-0.3408512771129608
102.4642,0.13480762527145906,-0.5710180197534412,0.1525399386882782,-0.36800631880760193
102.4742,0.19481647450867567,-0.6390464568356315,0.19779963791370392,-0.4851844310760498
102.4842,0.1966862986667128,3.210696761102114,0.20452086627483368,4.1102705001831055
102.4942,0.203019090791834,2.4232239646480727,0.21804195642471313,2.6364834308624268
102.5042,0.22078400701972148,1.781133637700985,0.2482922524213791,2.68532395362854
102.5166,0.2234715599529051,1.4775737247670833,0.2750382721424103,0.6834614276885986
102.5266,0.21994969265350153,0.9721319936973971,0.31477048993110657,2.1311607360839844
102.5366,0.16871747011867852,0.951576010899858,0.30049529671669006,1.702595829963684
102.5466,0.17616984827857424,0.7890809364362804,0.32137998938560486,1.3498021364212036
102.5566,0.13403189944025554,0.5732275750187619,0.29970550537109375,1.0439718961715698
102.5666,0.13707943008738205,0.5033734302537287,0.3051964044570923,0.9005154371261597
102.5766,0.13741325172787575,0.40967077902603743,0.3203566074371338,0.9093281030654907
102.5866,0.15174705664330757,0.3117960595384547,0.3411129117012024,1.0208979845046997
102.5966,0.10589789016475895,0.29455335387908715,0.2838543653488159,1.1492868661880493
102.6066,-0.06013943260179877,0.2615110479088979,-2.7362966537475586,1.170560598373413
102.6192,0.21035439147972054,0.2290891991781195,0.5834314227104187,1.1876585483551025
102.6292,0.32723461535548515,0.19037374773672888,0.7574671506881714,1.2010780572891235
102.6392,0.12300705915831064,0.15160587208975887,0.5703311562538147,1.2193111181259155
102.6492,-0.1598881619234504,0.09052599019905942,0.37304726243019104,1.1335489749908447
102.6592,-0.13853257695507887,0.057387505903802816,0.4644385874271393,1.0891649723052979
102.6692,-0.11614945845072511,0.014945780726709688,0.5412180423736572,0.8225175738334656
102.6792,-0.13895637676202688,0.0,0.49265214800834656,0.8797664642333984
102.6892,-2.186340777185755,0.0,-2.7132866382598877,0.7868753671646118
102.6992,-1.591836978489194,0.0,-2.0315165519714355,0.4597150683403015
102.7092,-1.5440399638358653,0.0,-1.9653981924057007,0.4682712256908417
102.7217,-1.3463913894663142,-0.0,-1.7160534858703613,0.47967228293418884
102.7317,-1.141224216869698,0.0,-1.4609125852584839,0.5245540142059326
102.7416,-0.6522984354150423,0.0,-0.8866657614707947,0.7704702615737915
102.7517,-4.049506867950959,0.02081675745408589,0.37307295203208923,0.8368340134620667
102.7617,-3.427221260491191,0.0826743091396985,0.6160279512405396,0.9497358798980713
102.7717,-3.0950722453693524,0.14591324935366454,1.0666887760162354,0.9366158246994019
102.7817,-2.82564188063453,0.03595637708345596,1.3277857303619385,0.37331661581993103
102.7917,-3.00694521421603,0.029377405527206663,1.1587568521499634,0.289127379655838
102.8017,-2.754092590192514,0.04256301349795999,1.3116832971572876,0.3126177489757538
102.8117,-2.643662628889995,0.05331568993767885,2.2734358310699463,0.34241029620170593
102.8241,-2.360803925785864,0.01177738246372173,-2.078195810317993,0.2739976942539215
102.8341,-2.44368273248916,0.005314556943875767,-2.1419291496276855,0.1920282244682312
102.8441,-1.8134086966912928,0.08503184652983503,-1.8621934652328491,0.29144757986068726
102.8541,-1.4870621960962023,0.17637917110677692,-1.7425566911697388,0.4521840512752533
102.8641,-1.560133852349293,-0.6191059747452863,-1.8302234411239624,-1.1400794982910156
102.8742,-1.0638036731096863,-0.5812984974412033,-1.5940645933151245,-1.083123803138733
102.8842,-0.7650716061017746,-0.5436995787313599,-1.456718921661377,-1.0037055015563965
102.8942,-0.4278956635483805,-0.4328750888663692,-1.312994360923767,-1.0679850578308105
102.9042,-0.06015996106235422,0.18850042262005362,-1.1501318216323853,0.3456398844718933
102.9142,0.2870840130198842,0.2048925529031997,-0.945347249507904,0.39274221658706665
102.9268,0.6002201855537361,0.2143602942243413,-0.7186632752418518,0.40568459033966064
102.9368,0.5273846170359164,0.22127881111808434,-0.7362589836120605,0.4165791869163513
102.9468,0.6839795111441267,0.1854801213363061,-0.5395624041557312,0.3659310042858124
102.9568,0.6114416438230863,0.16620674588621104,-0.5852228999137878,0.34618085622787476
102.9668,4.774713675122097,0.16742524138597684,-0.4414280354976654,0.35480257868766785
102.9769,-0.08715980997602568,0.16745720842254067,-0.23388361930847168,0.34770146012306213
102.9869,-0.10446669139314985,0.18291628524580272,-0.2376539409160614,0.35409489274024963
102.9969,0.005378794099189788,0.22931110374852479,-0.0734395757317543,0.39563271403312683
103.0069,-0.005552609965985056,0.28014835783075065,-0.07343383878469467,0.4429284930229187
103.0169,-0.03356612692591175,0.3061096559394497,-0.06760977953672409,0.46577680110931396
103.0294,2.5617882484952736,0.3289663002275084,3.055147886276245,0.4616718590259552
103.0394,0.03323027574310168,0.33184642870888903,0.016225168481469154,0.46895354986190796
103.0494,1.3582519963391144,0.31235665010551,1.4755373001098633,0.42751172184944153
103.0594,0.5783500740649617,0.25374026966035973,0.3120594620704651,0.3283764123916626
103.0694,0.046470553581547835,0.19361218490078097,0.2602008879184723,0.21639856696128845
103.0794,0.008787774929253405,0.24206780028664004,0.0,0.2718047797679901
103.0894,0.0,0.3285527122488718,0.0,0.3794628977775574
103.0994,0.0,0.35135854439099456,0.0,0.388853520154953
103.1094,0.0,0.23411145260161062,0.0,0.2066471427679062
103.1194,0.0,0.24374527967698922,0.0,0.20917946100234985
103.1318,0.0,0.2339939762737521,0.0,0.1905508190393448
103.1418,0.0,0.25348290925468825,0.0,0.20912472903728485
103.1518,0.0,0.27273580417297216,0.0,0.2204871028661728
103.1618,0.0,0.2604759370506976,0.0,0.20415154099464417
103.1718,0.0,0.23701757926792022,0.0,0.1399628221988678
103.1818,0.0,0.2014635332959251,0.0,0.06505806744098663
103.1918,0.0,0.13184101549071173,0.0,-0.00656290864571929
103.2018,0.0,0.12333585547119144,0.0,-0.041127920150756836
103.2118,0.0,-3.8603537328039206,0.0,-2.6980228424072266
103.2218,0.0,0.7001343298549466,0.0,0.5788729786872864
103.2344,0.0,0.7731073602868768,0.0,0.6742070317268372
103.2444,0.0,0.7164651013626415,0.0,0.6592077612876892
103.2544,0.0,0.7194756821169035,0.0,0.6575038433074951
103.2644,0.0,0.7711512775125744,0.0,0.6958112120628357
103.2744,0.0,0.71637193088867,0.0,0.6416460871696472
103.2844,0.0,0.6767816691647438,0.0,0.5997124910354614
103.2944,0.0,0.6645219901406249,0.0,0.5674238801002502
103.3044,0.0,-3.259628979086062,0.0,-1.9058078527450562
103.3144,0.0,-2.8500561059966643,0.0757327452301979,-1.5111159086227417
103.3244,0.0,-2.5418915347832174,0.16849617660045624,-1.2863786220550537
103.337,0.0,-2.0560237926245963,0.13841389119625092,-0.93115234375
103.347,0.0,-2.055883114078167,0.11953902244567871,-1.0531730651855469
103.357,0.0,-2.040381137456551,0.12119243294000626,-1.172980785369873
103.367,0.0,-0.9248104189317508,0.12486498057842255,-0.5764687657356262
103.377,0.0,-1.1929736157574728,0.11012332141399384,0.15451471507549286
103.387,0.0,-1.3065125641754252,0.06260351836681366,-0.05833370238542557
103.397,0.0,-1.5400179716671498,0.028562817722558975,-0.2309565395116806
103.407,0.0,-1.7937614379771518,0.03359497711062431,-0.43485575914382935
103.417,0.0,-1.4533322418582395,0.032859478145837784,-0.21428321301937103
103.427,0.007519138142891583,-1.5864567099941262,0.050378430634737015,-0.3617055118083954
103.4393,0.03308884394102174,-1.0811722500910748,0.08200471103191376,0.034140653908252716
103.4493,0.05722246235117735,-1.232641845748938,0.10541589558124542,-0.10987663269042969
103.4593,0.08387798510541597,-0.8376005849725837,0.11868655681610107,0.08403022587299347
103.4693,0.10671508031331625,-0.6162329510553551,0.12254749983549118,0.20383840799331665
103.4793,0.10490521534574969,-0.32824267655979267,0.13905030488967896,0.35680830478668213
103.4893,0.15175475495552088,0.03300627621219776,0.14210863411426544,0.5425489544868469
103.4993,0.1716041938062826,0.7924704369246836,0.1485905945301056,2.0854477882385254
103.5093,0.18466403515104077,3.4320776615336315,0.15132753551006317,-0.45686301589012146
103.5193,0.1920947057229177,-0.8065205050028383,0.12218773365020752,-0.4769272208213806
103.5293,0.2533637887629573,-0.7198534261969256,0.08531680703163147,-0.425569087266922
103.542,0.3371109308811291,-0.5517815279415945,0.1256670504808426,-0.3381666839122772
103.552,0.310692048237516,-0.5515316665304761,0.18891379237174988,-0.3381003439426422
103.562,0.3711866625390144,-0.5683645756132772,0.24921350181102753,-0.3555166721343994
103.572,0.3563881321583428,-0.5687833391297213,0.23051773011684418,-0.3569413423538208
103.582,0.33015032555927903,-0.5750480421353705,0.26595568656921387,-0.36048662662506104
103.592,0.3471702050571717,-0.5759643237599044,0.369200199842453,-0.3625859022140503
103.602,0.38993404766274303,-0.5904798954818378,0.41812166571617126,-0.3816145956516266
103.612,0.4510723217349234,-0.667432536526593,0.43828561902046204,-0.44649502635002136
103.622,0.33363254302232437,-0.6479121310474714,0.2929435670375824,-0.43430784344673157
103.632,0.3436377766498627,-0.5849281002434298,0.31757259368896484,-0.3896271586418152
103.6445,0.3529514664379267,-0.5297271040230687,0.32947680354118347,-0.35014602541923523
103.6545,0.29253212345079466,-0.48011469509677945,0.2811606526374817,-0.3176320791244507
103.6645,0.28592142221862926,-0.43669992716083555,0.30365586280822754,-0.28992071747779846
103.6745,0.28119700353838206,-0.39842938505881403,0.31828826665878296,-0.2624812722206116
103.6845,0.2969553610818159,-0.3669270053618734,0.35545313358306885,-0.23984798789024353
103.6945,0.32401733281981177,1.4492887528765575,0.38118013739585876,0.766211748123169
103.7045,0.37289713805602315,1.037029255095865,0.4239116311073303,0.5520675778388977
103.7145,0.4681018899514493,0.3197898991971647,0.5169274806976318,0.4345789849758148
103.7245,0.3232948042991375,0.9989493532040317,0.3634363114833832,0.4567914307117462
103.7345,0.0823123759882422,0.7536451935109137,0.10261048376560211,0.3351792097091675
103.747,0.2040289971204209,0.6272458951133252,0.24880041182041168,0.28363630175590515
103.757,0.4958390837543012,0.5258358616189862,0.5436444878578186,0.22440186142921448
103.767,0.5494771498753084,0.4693341813851378,0.5949570536613464,0.17314095795154572
103.777,0.3321276368316324,0.41265284807045877,0.3795502483844757,0.11916302144527435
103.787,0.11432154412149087,0.32743127519962384,0.15404680371284485,0.08940759301185608
103.797,0.15964831690180065,0.27007515740173704,0.1889037936925888,0.06488968431949615
103.8071,0.3988030268762904,0.13345227526547263,0.3926165997982025,0.013047375716269016
103.817,0.6843972576473079,-0.017601132596176378,0.6705959439277649,0.0
103.827,0.6986236410564047,-0.021916568657135052,0.6883106231689453,0.0
103.837,0.714541620968437,-0.005258726492320863,0.7087165117263794,0.0
103.8495,-2.934850329658683,0.0,-2.7971224784851074,0.0
103.8595,-2.7110492688735537,0.0,-2.6188621520996094,0.0
103.8695,-1.4464889510586616,-0.0,-1.3639153242111206,0.0
103.8795,-0.9540962834996439,0.0,-0.9774031043052673,0.0
103.8895,0.0584201331450811,0.0,-0.2741270065307617,0.0
103.8995,0.6787304670501673,0.02398909730378248,0.2954489588737488,0.0
103.9095,0.546071535301657,0.06325478431039451,0.15941591560840607,0.0
103.9195,0.41533801479290333,0.11000204805992149,-0.0016490740235894918,-0.0009879486169666052
103.9295,1.5054124099372712,0.1562376980223821,0.9504380822181702,-0.007040754891932011
103.9395,1.3290100972424899,0.20749425474881888,0.8024986982345581,-0.011705507524311543
103.952,3.2184114161879087,0.24662963795254142,3.1672251224517822,-0.011852779425680637
103.962,-2.623689522342947,0.2671949774026125,-2.621770143508911,-0.016352659091353416
103.972,-2.406522489464523,0.2624587564207391,-2.443629264831543,-0.4827023446559906
103.982,-2.4699996753605884,0.3118966628820066,-2.47556209564209,0.12108679860830307
103.992,-2.493621965350935,0.31514667511160427,-2.495770215988159,0.17180027067661285
