t_s,imu_LTx,imu_RTx,imu_Lvel,imu_Rvel,L_tau_ref,R_tau_ref,L_tau_pfimu,R_tau_pfimu
64.4787,-6.4151,-44.2355,44.1895,199.0356,0.48710547764887874,2.178164614341867,0.4810952842235565,2.202911853790283
64.4887,-5.9592,-35.798,46.6919,184.3872,0.5030687521599382,2.5152923895848094,0.4682988226413727,2.4185791015625
64.4987,-5.1517,-31.843,39.4897,195.3735,0.5745270487566977,2.601511018900446,0.524100661277771,2.284478187561035
64.5087,-4.9484,-31.843,15.7471,195.3735,0.7877533929856627,2.971203417200202,0.7437691688537598,2.5789694786071777
64.5186,-4.9484,-27.9648,15.7471,197.8149,0.7410682089094475,2.7359137912117735,0.7121220231056213,2.45571231842041
64.5286,-4.9484,-26.0916,15.7471,186.4014,0.6989989497240585,2.7024047628366565,0.6809832453727722,2.5334441661834717
64.5387,-4.9484,-24.4272,15.7471,163.3911,0.6630963798383751,2.7097991878055003,0.663522481918335,2.5777759552001953
64.5487,-5.0034,-22.9715,-2.9907,143.9819,0.7748682562338196,2.651963763079862,0.796141505241394,2.5424695014953613
64.5587,-4.9924,-21.5872,6.1646,139.2212,0.6239095474083434,2.4954965008295837,0.6552754044532776,2.390848398208618
64.5687,-5.0144,-20.3403,-13.916,121.8262,-0.17609045259165668,2.4329128239286133,-0.14472459256649017,2.341639280319214
64.5786,-5.9537,-19.379,-64.209,91.9189,-0.6684404335560173,2.4211128002716085,-0.6622998714447021,2.337066888809204
64.5886,-5.9537,-18.6209,-64.209,74.4629,-0.884298553012755,2.2866112618664864,-0.862312376499176,2.2107579708099365
64.5986,-5.9537,-18.0002,-64.209,61.7676,-1.028456977827039,2.0176232573320743,-1.0142080783843994,2.0166897773742676
64.6086,-7.6071,-17.4454,-97.7173,59.021,-0.9865197214327472,1.703874188678468,-0.9818169474601746,1.7741069793701172
64.6187,-8.8925,-16.7917,-133.7891,71.228,-1.1789798325422667,1.5144048747387227,-1.4120595455169678,1.520135521888733
64.6287,-10.5075,-15.9952,-167.1143,78.0029,-1.7059802037899963,1.4808807574107667,-2.137739658355713,1.3838495016098022
64.6386,-14.4077,-15.2261,-210.2051,74.707,-2.5059802037899965,1.4732740154192643,-2.937739610671997,1.347264051437378
64.6487,-16.5775,-14.5395,-222.9614,62.9272,-3.3059802037899964,1.4675260978253963,-3.7377398014068604,1.3254553079605103
64.6586,-16.5775,-13.0453,-222.9614,82.2754,-3.9752746880926675,1.1908010495739887,-4.5377397537231445,1.0563570261001587
64.6686,-16.5775,-13.0453,-222.9614,82.2754,-4.141981846477562,1.2586659679389585,-4.650971412658691,1.1753876209259033
64.6786,-16.5775,-13.0453,-222.9614,82.2754,-4.2544325670182435,1.2971508485604382,-4.73016881942749,1.2507654428482056
64.6886,-23.4714,-13.0453,-215.5762,82.2754,-3.4544325670182436,1.3361212492376604,-3.930168628692627,1.3079098463058472
64.6986,-25.6412,-11.2161,-198.7915,83.6792,-3.0338199998721356,1.1096456817261466,-3.7055606842041016,1.1419135332107544
64.7087,-29.6237,-11.2161,-176.0254,83.6792,-2.9357314182748673,1.1566237086969848,-3.4486780166625977,1.2074593305587769
64.7186,-29.6237,-9.1782,-176.0254,69.6411,-3.1582817174423026,1.0285020884548508,-3.55612850189209,1.1334803104400635
64.7286,-31.431,-8.1619,-165.7715,37.1704,-3.053201959856365,1.1526540188921364,-3.4343974590301514,1.2205947637557983
64.7386,-33.1119,-8.1619,-155.4565,37.1704,-2.9398532863131184,1.1412920715671304,-3.300426483154297,1.156897783279419
64.7486,-34.7544,-8.1619,-155.8838,37.1704,-2.7697991388881604,1.1331123832703893,-3.0885539054870605,1.1166001558303833
64.7587,-36.4243,-7.7554,-155.8228,20.5078,-2.594594189458145,1.186752564096594,-2.8966681957244873,1.1363493204116821
64.7686,-38.0612,-7.4918,-152.3438,31.9824,-2.4662645358627215,1.0115959529576275,-2.748779058456421,0.9594420194625854
64.7786,-41.445,-7.0963,-166.0767,42.9077,-1.9137562891674937,0.8458076137689978,-2.1730051040649414,0.8068408966064453
64.7886,-43.2578,-6.6678,-176.1475,44.0674,-1.9161660031322811,0.7804404954596014,-2.050649642944336,0.7477561235427856
64.7986,-43.2578,-6.6678,-176.1475,44.0674,-2.611613577715863,0.7845300948324764,-2.5650577545166016,0.7621697783470154
64.8086,-45.0925,-5.8273,-178.772,40.3442,-2.7620753743180453,0.708189659284257,-2.8247337341308594,0.6919689774513245
64.8186,-46.8723,-5.8273,-174.0112,40.3442,-2.6931961983340926,0.7169467563391545,-2.878289222717285,0.7068868279457092
64.8286,-48.5037,-5.4593,-166.687,39.0015,-2.421893070364184,0.6862343318459664,-2.615386962890625,0.6748439073562622
64.8386,-50.0748,-5.1297,-153.7476,36.5601,-2.116236319004014,0.6720998413584819,-2.331230878829956,0.6624628901481628
64.8486,-51.4426,-5.1297,-132.8125,36.5601,-1.9716274339586504,0.686265148034242,-2.144408702850342,0.6731087565422058
64.8586,-51.4426,-4.8056,-132.8125,34.668,-2.0990174365281637,0.663851412019755,-2.2139811515808105,0.6667175889015198
64.8686,-53.552,-4.1574,-91.1255,26.2451,-1.7973119109103948,0.6477792010336259,-1.913598895072937,0.6561565399169922
64.8786,-54.3595,-4.1574,-75.9888,26.2451,-1.6327425639147026,0.6477802357834135,-1.7917978763580322,0.643669843673706
