t_s,imu_LTx,imu_RTx,imu_Lvel,imu_Rvel,L_tau_ref_mean,R_tau_ref_mean,L_tau_pfimu_mean,R_tau_pfimu_mean
142.9792,-25.1468,-23.7955,81.2378,-168.5791,1.1964981327632453,-3.273349631948269,1.2333613157272338,-3.073079323768616
142.9892,-24.2569,-23.7955,87.5854,-168.5791,1.2066860055753614,-3.291719991169921,1.2433389186859132,-3.119330143928528
142.9992,-24.2569,-31.2442,87.5854,-223.0835,1.3328025658493627,-2.962844022909241,1.3689367294311523,-3.1147445917129515
143.0092,-23.3121,-33.6172,88.7451,-237.5488,1.3593902766140384,-3.5993643824017107,1.4059885025024415,-3.6734987020492555
143.0192,-21.3181,-35.9299,97.5952,-234.6802,1.27633266985769,-3.8089123064925374,1.3232715606689454,-3.9695815086364745
143.0292,-21.3181,-38.2315,97.5952,-225.647,1.4372368504574573,-3.709473571648053,1.4767338514328003,-3.828987550735474
143.0392,-21.3181,-40.4507,97.5952,-217.1631,1.565392125696722,-3.424859602336551,1.5985345602035523,-3.4641258001327513
143.0492,-19.0604,-40.4507,114.3799,-217.1631,1.40016542209332,-3.7046092190512807,1.4304356813430785,-3.6360440492630004
143.0592,-17.8958,-40.4507,115.9668,-217.1631,1.4996791926884314,-3.921163258294405,1.5289197325706483,-3.772396516799927
143.0692,-16.7148,-42.6041,119.2017,-208.8623,1.5661687286055523,-3.5240923104601514,1.5997888684272765,-3.3024277210235597
143.0818,-14.1934,-46.4328,135.1929,-170.6543,1.4475890939034455,-2.8585767615212117,1.4812968730926515,-2.681097173690796
143.0918,-11.4688,-49.3881,140.0146,-130.0659,1.4626433880601728,-2.4011453271663745,1.4907317638397217,-2.2831785082817078
143.1018,-11.4688,-50.5856,140.0146,-114.624,1.8685625692217627,-2.224761093102054,1.8943963527679444,-2.1235910177230837
143.1118,-11.4688,-51.6183,140.0146,-98.3276,2.1663027672383923,-2.080319332861483,2.223387289047241,-1.9791813492774963
143.1218,-8.9804,-52.4423,115.4785,-77.1484,1.962711893956373,-1.9918591360186002,2.0263166308403013,-1.8814065217971803
143.1318,-7.0084,-53.0081,89.5386,-49.6826,1.844425703041218,-1.9231884253769032,1.8818045020103455,-1.8153399109840394
143.1418,-6.2448,-53.0081,74.8291,-49.6826,1.8135650268752823,-1.749098772706251,1.8453240633010863,-1.682571828365326
143.1518,-5.6241,-53.2718,64.3311,6.6528,1.7522504977549267,-1.5421959178859004,1.7762755632400513,-1.6445728302001954
143.1618,-5.0638,-53.2718,58.5938,6.6528,1.6347509256753523,-1.0656469551719456,1.6548786401748656,-1.068391841650009
143.1718,-5.0638,-52.2995,58.5938,71.5942,1.5862062045901566,-0.2656469551719458,1.6024244666099547,-0.26839182563126085
143.1842,-3.9102,-52.2995,62.3169,71.5942,1.3602244805561126,0.5343530448280542,1.3592732191085815,0.5316081747412682
143.1942,-3.2566,-51.4151,65.918,92.8955,1.271467130844607,1.292317211310643,1.2573226690292358,1.2654738783836366
143.2042,-2.6139,-48.9377,63.1714,144.043,1.2360018102875603,1.4753864567071202,1.2322287917137147,1.4177377700805665
143.2142,-2.0536,-47.3282,60.4858,164.3066,1.2095484785261406,1.879855437251758,1.2181276440620423,1.8046947836875915
143.2242,-1.4823,-45.5759,55.9692,178.1006,1.1884888477729039,2.342760381302115,1.202725636959076,2.2971309065818786
143.2342,-1.4823,-43.6752,55.9692,198.7915,1.2043635423130208,2.6471539963161845,1.2211505770683289,2.7300020456314087
143.2442,-0.9879,-41.7142,48.2178,189.5142,1.1941345193348782,2.848668224115704,1.2170757532119751,2.957708168029785
143.2542,-0.5979,-40.0882,42.4805,150.8789,1.1686873538613212,2.9719479340917387,1.1922430634498595,3.0477093935012816
143.2642,0.1877,-40.0882,40.5273,150.8789,1.0533938856220482,2.9483846971681418,1.080295479297638,3.0077608823776245
143.2742,0.1877,-38.671,40.5273,141.7236,1.0401096597130424,2.844194142284489,1.062891912460327,2.8822752714157103
143.2867,0.8798,-37.2867,31.4331,142.5171,1.0073328890263062,2.6930614525786614,1.0344725549221039,2.7213711500167848
143.2967,1.0666,-35.9518,15.5029,138.3667,1.0852776694768091,2.618659823677595,1.106822395324707,2.638318991661072
143.3067,1.0666,-35.9518,15.5029,138.3667,1.020834856995807,2.659523498605646,1.0371340811252594,2.6715097427368164
143.3167,1.0666,-35.9518,15.5029,138.3667,0.9590808204668043,2.6863826585422816,0.9729215323925018,2.6973042726516723
143.3267,1.0721,-29.2722,-2.6855,128.3569,1.0520290772077054,2.0654575290033192,1.057738435268402,2.1161105155944826
143.3367,1.0721,-28.3768,-2.6855,73.4863,0.9547882096506755,2.25767769294276,0.9510527312755584,2.25255765914917
143.3467,-1.7899,-28.1735,-124.2065,10.376,0.15478820965067544,2.1113476700419773,0.1510527290403843,2.0392150402069094
143.3567,-1.7899,-28.1735,-124.2065,10.376,-0.6452117903493246,1.3514722175164655,-0.6489472687244415,1.3928151845932006
143.3667,-4.943,-28.4921,-180.9082,-36.438,-1.4452117903493247,0.5514722175164655,-1.448947298526764,0.5928151858970523
143.3767,-7.0578,-28.4921,-224.3652,-36.438,-2.2452117903493245,-0.21474524265252418,-2.248947262763977,-0.1483438942581415
143.3892,-7.0578,-29.0085,-224.3652,6.1035,-3.0452117903493248,-0.5881262598439182,-3.048947262763977,-0.6388023585081101
143.3992,-9.5188,-28.2999,-255.0659,51.2085,-3.7803295058206814,0.20852161550216772,-3.8175206184387207,0.1611976374872029
143.4092,-9.5188,-28.2999,-255.0659,51.2085,-4.437736930328814,0.679697797521931,-4.424723958969116,0.7497258484363556
143.4192,-9.5188,-28.2999,-255.0659,51.2085,-4.766941700546015,0.808114427561744,-4.702892017364502,0.8457129061222076
143.4292,-18.8132,-28.2999,-202.5757,51.2085,-3.9725670227534993,0.8640193043612625,-3.9129106521606447,0.8839830875396728
143.4392,-20.9281,-27.5858,-198.7915,77.3315,-3.439657537651013,0.8082464146916679,-3.547620487213135,0.8071385502815247
143.4492,-22.9935,-26.6135,-191.4673,100.8301,-3.2537861013939504,0.8693018350396553,-3.361235523223877,0.8610998868942261
143.4592,-22.9935,-24.2679,-191.4673,117.5537,-3.3867636285478837,0.9803027271559079,-3.469413661956787,0.9865004241466522
143.4692,-24.9436,-21.0709,-181.7627,99.4263,-3.226861788766629,1.143202193723426,-3.3148342847824095,1.1541126847267151
143.4792,-28.7064,-20.1151,-182.9224,95.8252,-2.792112388687855,1.2698674948826056,-2.8617899656295775,1.2782822132110596
143.4918,-32.3538,-19.1702,-175.1099,94.5435,-2.594659158963263,1.329035277955661,-2.621079683303833,1.3424850702285767
143.5018,-34.2215,-17.5827,-185.3027,72.998,-2.5223867203673915,1.38844860896431,-2.5171979904174804,1.407897961139679
143.5118,-34.2215,-16.8246,-185.3027,73.1812,-2.7928705374682434,1.3490473719695484,-2.745474028587341,1.3711772441864014
143.5218,-34.2215,-16.8246,-185.3027,73.1812,-3.0084778727936285,1.3766911315977732,-2.9423139810562136,1.391032636165619
143.5318,-38.2974,-16.0281,-200.1343,79.9561,-2.479889446510551,1.3026763254575984,-2.4120877981185913,1.3136490821838378
143.5418,-40.3519,-16.0281,-195.8618,79.9561,-2.55751089251805,1.3601483464574324,-2.484065389633179,1.3708299279212952
143.5518,-42.4118,-15.1492,-200.1343,89.4165,-2.709559484597668,1.285601929630872,-2.704213571548462,1.3060675978660583
143.5618,-46.3724,-14.1385,-186.5234,104.5532,-2.327367105949446,1.2248525742014025,-2.433376502990723,1.2407535433769226
143.5718,-48.1742,-12.9465,-173.7061,121.7651,-2.3175471271919887,1.2026189237116618,-2.420408844947815,1.2250020384788514
143.5818,-48.1742,-11.6556,-173.7061,129.9438,-2.642165902792628,1.3011187593165454,-2.695659112930298,1.332417905330658
143.5942,-48.1742,-10.2713,-173.7061,137.3901,-2.8853947526461896,1.4549865397311126,-2.880314803123474,1.4919795513153076
143.6042,-51.3547,-7.3929,-149.8413,130.7373,-2.179868168598216,1.3926781574275435,-2.1497061491012572,1.4423422336578369
143.6142,-53.9585,-6.1349,-120.1782,114.4409,-1.681275723740299,1.5209937992902618,-1.636367642879486,1.576094925403595
143.6242,-53.9585,-4.064,-120.1782,90.8813,-1.7661640460410932,1.429266756558714,-1.7402822375297546,1.4862182140350342
143.6342,-55.0461,-4.064,-105.4077,90.8813,-1.590065191781265,1.4789107533266952,-1.5715967297554017,1.5356290698051454
143.6442,-55.958,-2.4161,-86.3037,76.7212,-1.4797113296410918,1.3417252684748686,-1.463936710357666,1.3966959476470948
143.6542,-55.958,-1.669,-86.3037,72.937,-1.5052922713763477,1.2743641083630768,-1.4941287517547608,1.3205497860908508
143.6642,-56.6446,-1.669,-63.1714,72.937,-1.4688899835698017,1.3150149224548089,-1.4443209171295166,1.35630624294281
143.6742,-57.0566,-1.669,13.6719,72.937,-0.6688899835698017,1.3428301868849513,-0.6443209052085876,1.383161234855652
143.6842,-57.0566,-0.9164,13.6719,72.5708,0.1311100164301983,1.2344932987596686,0.15567909879609942,1.2694495797157288
143.6967,-56.1173,-0.1199,52.2461,77.5146,0.47556675948805716,1.0929927395204377,0.6355444833636283,1.1212474405765533
143.7067,-55.2823,-0.1199,75.2563,77.5146,0.564873274826724,1.142186746491467,0.7295990824699402,1.16839759349823
143.7167,-54.1782,0.704,103.2104,78.4912,0.7985843941701475,1.0564703423261332,0.8912276327610016,1.07847118973732
