t_s,L_tau_ref,R_tau_ref,L_tau_pfimu,R_tau_pfimu
90.9765,0.3130200543288366,0.7110724564052604,0.36480212211608887,0.5573422312736511
90.9865,0.22597209262547993,0.8265339482206524,0.3368678689002991,0.6337026953697205
90.9965,0.17202899991235157,-3.0003083219214663,0.3197876513004303,0.7239676713943481
91.0065,0.1299460863092498,-2.6184566796656097,0.27524933218955994,0.8333646059036255
91.0165,0.11758139183446739,-2.2441231002133764,0.24258364737033844,-2.4192187786102295
91.0289,0.1119945444906486,-1.7933530765870425,0.22087816894054413,-1.863923192024231
91.0389,0.1234939632300559,-1.479139060919428,0.23081010580062866,-1.5068031549453735
91.0489,0.16717285573998233,-1.2887641269934358,0.2745615243911743,-1.0934271812438965
91.0589,0.21387898818780238,-1.2008091517793844,0.347800612449646,-0.839128851890564
91.0689,0.2510960898298747,-1.1685908623456713,0.44841018319129944,-0.8251593708992004
91.0789,0.251172251926271,-1.1757884394506943,0.542515754699707,-1.2394572496414185
91.0889,0.2344800249813182,-0.7520127613854266,0.6249969601631165,-1.6811212301254272
91.0989,0.21871880129184107,0.038430767168818214,0.6507853865623474,-1.623779535293579
91.1089,0.19840920773506224,0.6806334031935861,0.6515796780586243,-1.2948763370513916
91.1189,0.15536889699227077,1.202813951614846,0.6472589373588562,-0.7444393634796143
91.1314,0.11763775364227266,1.5345840056349784,0.6666104793548584,0.0641813650727272
91.1414,0.08345922091748964,3.2401297822607456,0.5366114377975464,0.645776629447937
91.1514,0.04979998170375646,-1.810748460984973,0.43803301453590393,1.1077882051467896
91.1614,0.020905386102564205,-1.9096615925206766,0.3503226041793823,1.3132705688476562
91.1714,0.027209400645915788,-1.944920005603229,0.272457093000412,4.331155300140381
91.1817,0.05304953314077862,-1.9706239712410436,0.21084997057914734,-2.603656053543091
91.1917,0.08372783264893827,-1.9803701869942727,0.22411274909973145,-2.504441976547241
91.2017,0.1063267583316225,-1.926434496608126,0.26707643270492554,-2.393892765045166
91.2117,0.14597354866650464,-1.8411503060245686,0.3120003044605255,-2.302178144454956
91.2217,0.23071239887203768,-1.770726302146323,0.3438108265399933,-2.177804708480835
91.2342,0.28020374291626976,-1.590638330038341,0.3818571865558624,-2.0485899448394775
91.2442,0.27825940939785554,-1.4117113796134322,0.4133288562297821,-1.9459223747253418
91.2542,0.27923010503345796,-1.2272237392169256,0.43455415964126587,-1.720007061958313
91.2642,0.25855861066204794,-1.0089216170001567,0.3991028964519501,-1.4961998462677002
