t_s,L_tau_ref_mean,R_tau_ref_mean,L_tau_pfimu_mean,R_tau_pfimu_mean
121.8035,1.174900894214558,0.5275606139046085,1.3903106421232223,0.33194124400615693
121.8135,0.8044632222786305,0.308203099498991,0.9891335546970368,-0.5698570773005486
121.8235,0.7302787656719124,0.05271188118126634,0.966736064851284,-0.04602302759885788
121.8335,0.6752581879017465,0.4771906770426681,0.8825179457664489,0.6587681025266647
121.8435,0.5886685324937304,0.3197268481451977,0.7706528306007385,0.7241882383823395
121.8559,0.5338637868434389,0.5762339470608311,0.7009164229035377,0.6787558764219284
121.8659,0.49047142281936323,0.5727572095418045,0.6444664165377617,0.6588042408227921
121.8759,0.4405711471905905,0.578474790633256,0.5882912516593933,0.6573676347732544
121.8859,0.3735233098369383,0.5381732879526855,0.5119452819228172,0.6098177522420883
121.8959,0.34079087607237646,-0.35548620943204134,0.47649489566683767,-0.14665436893701553
121.9059,0.2691735271265206,0.504717990371045,0.37488388270139694,0.5234549537301063
121.9159,0.2638868968135467,0.5101972154069382,0.3515406049787998,0.5151975154876709
121.9259,0.3007549892381518,0.63271463836052,0.3847658075392246,0.6274048924446106
121.9359,0.3322094987126469,0.5922944711202813,0.41751129925251007,0.5860436737537384
121.9459,0.3496298797578098,-3.0479509623126964,0.4413327589631081,-2.950084400177002
121.9585,0.39167856413114016,-2.2221967462629415,0.48376474976539613,-2.1127340704202653
121.9685,0.4224343535788215,-2.2211054628418534,0.5097834870219231,-2.341219758987427
121.9785,0.4669634033432309,-1.9366345063093373,0.5417871405836194,-1.895395863056183
121.9885,0.533019500030575,-1.6185910916915016,0.6063298195600509,-1.5543472290039062
121.9985,-0.23533631052950685,-1.2980991882187012,-0.2483097329735756,-1.222353458404541
122.0085,0.6499039761102227,-1.1944437790406393,0.7154577627778054,-1.1244109094142913
122.0185,0.554785478467835,-0.88101492895494,0.5973659887909889,-0.8004763931035995
122.0285,0.421239592842237,-0.5798542719911998,0.45069956183433535,-0.5125903189182281
122.0385,0.49293893654934606,-0.43740303511646267,0.516497454047203,-0.36379161877557636
122.0485,0.5623237074515625,-0.5300694801874588,0.5842488020658493,-0.4243108928203583
122.0609,0.6004379588668677,-0.45348484864599936,0.6208139777183532,-0.33113592900335787
122.0709,0.6453263357589187,-0.5151674755946355,0.6611116051673889,-0.5057928081601858
