phase_percent,angle_mean_deg,angle_std_deg,velocity_mean_deg_s,velocity_std_deg_s,torque_mean,torque_std
74,-7.94867972864789,1.91606324522151,-186.414761130332,62.1409923301498,-25.5778793550743,4.38899737762724
75,-10.033296735149,2.20178349219575,-195.398803969131,52.0979741546139,-24.0633067528962,3.78203498146245
76,-12.2284080934283,2.33251072370103,-199.184692979329,41.1042766346919,-22.1419208412661,3.31260032087106
77,-14.4668889097874,2.3791964027435,-198.412329392462,31.548819682952,-19.8733813053308,3.05297760716003
78,-16.708305945555,2.39469425509631,-194.628225649131,25.3259700954917,-17.2573645153239,2.98939618437245
79,-18.8941308280009,2.38165749490705,-189.739758198076,23.175902226991,-14.424971847338,3.07000915526559
80,-20.9946003254553,2.31549245388341,-184.352206800785,23.1268098224097,-11.5136065459776,3.15993685497648
81,-23.12091067043,2.21126431429926,-178.670515896033,23.8804899115763,-8.54820197896126,3.29717517916649
82,-25.1583534119911,2.23651312056451,-174.046849637456,25.0449514917069,-5.56402299218318,3.42056406083401
83,-27.1624367990058,2.33559113783982,-171.286573046492,26.3459957825235,-2.58885204483789,3.53891064221391
84,-29.222838589087,2.48068360229172,-170.057637207583,28.2081546415215,0.343134175294972,3.61886437735658
85,-31.249199824042,2.63027564079783,-170.611728220167,30.7008921888936,3.19222417616418,3.67287900647586
86,-33.2485642122267,2.74920643448542,-172.37400717059,32.7342442133024,5.95720582744115,3.68270554908735
87,-35.2455168745196,2.78339353370071,-174.275146520247,33.558553449877,8.63589936032137,3.66355791145432
88,-37.2846594804253,2.89048584949788,-175.26862546987,33.4766350002811,11.3026063668215,3.6795126676306
89,-39.2871434124844,3.06609323280099,-174.062388189044,32.0917925876313,13.8995065308411,3.66714879404683
90,-41.2112512587461,3.28561374588027,-168.945252829453,29.7635149124825,16.408263742369,3.71007110890451
91,-43.0089766020349,3.46640080690984,-160.985280083803,27.5224736289935,18.8196026820177,3.7970647355342
92,-44.6856450009722,3.63211488783892,-149.831581421642,25.5967437136156,21.1692083883138,3.92567463204776
93,-46.2449462126966,3.80995605025305,-136.091736636047,23.8170631266486,23.3637748529896,4.04910486245104
94,-47.6300613064048,3.91122446894674,-120.880156950335,21.8107509318539,25.3727880183464,4.19051193499782
95,-48.801728111605,3.94209264989764,-105.507725634,20.4328596411324,27.130168821444,4.33811248065655
96,-49.7924353814468,3.96620705381512,-89.759223406626,19.631258445711,28.6162397074764,4.4605442391667
97,-50.6267886939783,4.00908549723432,-72.6920625263747,18.481506093153,29.8354959444037,4.58846286045818
98,-51.2485659209463,4.06175007002353,-54.7240414139611,16.7316805746778,30.8033614675952,4.68916736880264
99,-51.661596890633,4.09329277258496,-35.2007422483683,14.5568970038836,31.5123841851737,4.75317625853161
100,-51.8624829508197,4.1195893937735,-14.9954383606557,14.2239003844451,31.9715157213115,4.7843806391028
