time_abs_s,time_window_s,q_L_deg,dq_L_deg_s,dq_int_L_deg_s,confidence_L,B_L,D_L,tau_ff_L,tau_damp_L,tau_exo_L,tau_measured_L,q_R_deg,dq_R_deg_s,dq_int_R_deg_s,confidence_R,B_R,D_R,tau_ff_R,tau_damp_R,tau_exo_R,tau_measured_R
239.0753,29.0752,-6.77766,71.16702,33.1148738362689,0.366767156518548,0.733534313037096,0.366767156518548,0.423956117487698,-0.243582992787684,0.180373124700015,-16.394185,-53.80462,-110.29052,-52.2950983089348,0.197366660578462,0.394733321156925,0.197366660578462,-0.36028164746411,0.199776716632186,-0.160504930831924,41.415527
239.0853,29.0852,-6.35358,70.05618,33.1872915062848,0.386453925191686,0.772907850383372,0.386453925191686,0.447689487012078,-0.248676722734832,0.199012764277246,-16.976328,-54.778,-84.3628,-42.9876188255411,0.192733364774391,0.385466729548782,0.192733364774391,-0.289206237886815,0.139179149907241,-0.150027087979574,42.9188668
239.0953,29.0952,-5.70208,66.57718,31.4638322008473,0.409804480447708,0.819608960895416,0.409804480447708,0.450086184969976,-0.251146024609472,0.198940160360504,-17.5629502,-55.47344,-56.60402,-38.25530613263,0.187725202838185,0.37545040567637,0.187725202838185,-0.250681120473981,0.060118145906111,-0.19056297456787,44.0424194
239.1053,29.1052,-5.08794,60.68118,29.7450422846824,0.419040575490321,0.838081150980641,0.419040575490321,0.435088927766879,-0.226255704378968,0.208833223387911,-18.1514788,-55.88324,-27.96632,-36.21028085439,0.20040455418414,0.400809108368281,0.20040455418414,-0.25330679687671,-0.0288350610424684,-0.282141857919178,44.7836076
239.1175,29.1174,-4.54522,54.40676,28.0351808053977,0.439397266410088,0.878794532820176,0.439397266410088,0.42999962349379,-0.202241769070959,0.227757854422831,-18.7401,-55.72174,-0.683600000000004,-37.4858245265532,0.186990225343663,0.373980450687326,0.186990225343663,-0.244677106585581,-0.120107559681547,-0.364784666267128,45.1557058
239.1275,29.1274,-3.91352,49.7925,26.2207041185194,0.447338889737143,0.894677779474286,0.447338889737143,0.409438208823963,-0.184037656671107,0.225400552152856,-19.3268592,-55.38776,29.65088,452.971269427466,0.148207327101572,0.296414654203143,0.148207327101572,2.34340685007425,1.09500532077264,3.43841217084689,45.1822832
239.1375,29.1374,-3.18294,46.09376,23.6598262877909,0.459091010841775,0.918182021683549,0.459091010841775,0.379155800274002,-0.179755252352292,0.199400547921709,-19.9114622,-54.76154,58.1543,2.69703526098552,0.10807132452306,0.216142649046119,0.10807132452306,0.0101742981914942,-0.104603517147416,-0.0944292189559216,44.8889902
239.1475,29.1474,-2.8182,45.55664,22.5267711480103,0.463523351545529,0.927046703091058,0.463523351545529,0.364483546633333,-0.186311838090812,0.178171708542522,-20.4935078,-54.10784,80.40772,412.62450346581,0.0763718606733289,0.152743721346658,0.0763718606733289,1.10000776171994,0.442825180420124,1.54283294214006,44.3035868
239.1575,29.1574,-2.45016,47.2168,21.6798406898468,0.462423680153069,0.924847360306137,0.462423680153069,0.349947999735029,-0.206104093608219,0.143843906126811,-21.0695564,-53.4904,96.24024,124.956912674943,0.0477017637183155,0.095403527436631,0.0477017637183155,0.20806646402391,0.0239081472729342,0.231974611296844,43.4606804
239.1675,29.1674,-1.96676,49.51172,20.6451333039158,0.459324292713067,0.918648585426134,0.459324292713067,0.331012557412641,-0.231415378757381,0.0995971786552602,-21.6358268,-53.11356,102.4414,385.460522105486,0.0236273739248168,0.0472547478496335,0.0236273739248168,0.317908926850779,0.116710143097588,0.434619069948367,42.403573
239.1775,29.1774,-1.57234,50.14648,20.4523688468914,0.457395674385355,0.914791348770709,0.457395674385355,0.326544995844447,-0.237049885900385,0.0894951099440624,-22.1903416,-51.84354,116.60154,-3.61093740782792,0,0,0,-0,-0,-0,41.174427
239.1875,29.1874,-1.07686,52.34374,20.6661716236447,0.456385394909388,0.912770789818775,0.456385394909388,0.329229795907349,-0.252325383755553,0.0769044121517968,-22.7320326,-50.46806,125.40282,347.49616653629,0,0,0,0,0,0,39.8019988
239.1975,29.1974,-0.45504,57.04346,20.5570435907481,0.453176559721689,0.906353119443377,0.453176559721689,0.325188709244348,-0.288586503324252,0.0366022059200956,-23.2619836,-48.7531,140.56396,84.8637571361749,0,0,0,0,-0,0,38.3039666
239.2075,29.2074,0.21402,61.05956,19.0151845974284,0.461323455315132,0.922646910630264,0.461323455315132,0.306205823063732,-0.338525048478521,-0.0323192254147895,-23.783935,-47.03814,155.7251,292.267210991048,0,0,0,0,0,0,36.691192
239.22,29.2199,0.77652,58.21532,18.1798820255941,0.452046922498231,0.904093844996462,0.452046922498231,0.286867891174227,-0.31586788208487,-0.0289999909106429,-24.3018172,-44.91778,175.23194,261.873165760288,0,0,0,0,0,0,34.9682826
239.23,29.2299,1.33902,55.37108,19.105744804127,0.452165753576117,0.904331507152234,0.452165753576117,0.301556713964195,-0.286198089229037,0.0153586247351574,-24.8179934,-43.4533,184.5215,239.943601876486,0,0,0,0,0,0,33.140536
239.24,29.2399,1.77298,48.52294,19.0689253541096,0.454030714073102,0.908061428146205,0.454030714073102,0.302216947520759,-0.233403357378876,0.0688135901418829,-25.3332654,-41.86688,198.46192,222.640827084474,0,0,0,0,0,0,31.2207818
239.25,29.2499,2.18498,45.59324,18.7613968502373,0.457402131498687,0.914804262997375,0.457402131498687,0.29955096106972,-0.214203251147629,0.0853477099220908,-25.8463064,-40.1618,208.1421,209.616042193187,0,0,0,0,0,0,29.2237048
239.26,29.2599,2.5783,43.7744,19.5346762035379,0.461892629886456,0.923785259772912,0.461892629886456,0.314959427808196,-0.19540967706902,0.119549750739175,-26.3537756,-38.01068,215.90576,196.976853813821,0,0,0,0,-0,0,27.1600226
239.27,29.2699,2.95182,41.80908,20.2920851327569,0.466770979173295,0.933541958346591,0.466770979173295,0.330626671890279,-0.175292296368122,0.155334375522157,-26.8526776,-35.85408,215.89356,185.898230993488,0,0,0,0,-0,0,25.038938
239.28,29.2799,3.31436,31.65284,20.4021173445373,0.47209666011065,0.944193320221299,0.47209666011065,0.336212249467429,-0.0927019168708997,0.243510332596529,-27.3436524,-33.7414,210.60792,175.270674412999,0,0,0,0,-0,0,22.8733416
239.29,29.2899,3.51652,15.16114,20.5553500572644,0.477644207681734,0.955288415363468,0.477644207681734,0.342717874690262,0.0449686383668552,0.387686513057117,-27.829777,-31.71882,201.42824,164.653010528241,0,0,0,0,-0,0,20.681525
239.3,29.2999,3.4473,-15.00244,-149.461761727226,0.468180989786821,0.936361979573643,0.468180989786821,-2.44259371756195,-1.09870742430415,-3.5413011418661,-28.3066566,-29.51168,181.11574,149.357119319665,0,0,0,0,-0,0,18.4851074
239.31,29.3099,3.0364,-49.4629,-107.013209441868,0.46642498848962,0.93284997697924,0.46642498848962,-1.74231454415464,-0.468497028003053,-2.2108115721577,-28.753669,-27.59456,151.55032,134.205321510328,0,0,0,0,-0,0,16.3092932
239.3223,29.3222,2.29264,-82.47072,-126.239019172288,0.446695471063718,0.893390942127437,0.446695471063718,-1.96839622795991,-0.34123108512659,-2.3096273130865,-29.1314516,-25.98176,121.1304,119.234801663858,0,0,0,0,-0,0,14.1823828
239.3323,29.3322,1.2028,-116.94338,-120.714778308744,0.442756214535186,0.885512429070373,0.442756214535186,-1.86565987012116,-0.0291436830578906,-1.89480355317905,-29.3743306,-24.68208,88.855,105.224045784794,0,0,0,0,0,0,12.1320156
239.3423,29.3422,-0.25728,-154.834,-122.18600672026,0.440442235092355,0.88088447018471,0.440442235092355,-1.87852851830362,0.250970582015132,-1.62755793628849,-29.3802552,-23.71858,54.06496,92.4564772995392,0,0,0,0,0,0,10.1827826
239.3523,29.3522,-2.0909,-192.49268,-129.542283394603,0.434288356605208,0.868576713210416,0.434288356605208,-1.96379928310366,0.477149006815793,-1.48665027628787,-29.0206266,-23.39778,28.30812,83.954073399552,0,0,0,0,0,0,8.3566586
239.3623,29.3622,-3.71028,-226.08642,-139.448599435715,0.42463946692896,0.849278933857921,0.42463946692896,-2.06700666023234,0.642103803333447,-1.42490285689889,-28.1761294,-23.09676,27.66114,77.8004329138896,0,0,0,0,0,0,6.669563
239.3723,29.3722,-5.6241,-254.08936,-142.299164136987,0.411609131508798,0.823218263017597,0.411609131508798,-2.04453577078847,0.803093453329613,-1.24144231745886,-26.7675666,-22.70124,39.14794,72.4753869311607,0.0163897432243127,0.0327794864486254,0.0163897432243127,0.0414638911270318,0.00953348225935057,0.0509973733863823,5.124802
239.3823,29.3822,-8.22896,-266.73584,-139.587823794074,0.394944109309776,0.789888218619551,0.394944109309776,-1.9243786962093,0.876440820557971,-1.04793787565132,-24.768115,-22.35846,56.9702,69.0850757176622,0.0362883735195534,0.0725767470391068,0.0362883735195534,0.087510286222626,0.00767297589668208,0.0951832621193081,3.7143074
239.3923,29.3922,-10.86568,-265.23438,-135.906307400213,0.376444994770439,0.752889989540879,0.376444994770439,-1.78586449519763,0.849711898978208,-0.936152596219427,-22.2155164,-21.45428,87.08494,63.682495166146,0.0571227510412886,0.114245502082577,0.0571227510412886,0.126980358692326,-0.0233317714037995,0.103648587288527,2.4213048
239.4023,29.4022,-13.9023,-252.80762,-126.578044019751,0.355918992093154,0.711837984186309,0.355918992093154,-1.57259505783828,0.784132859995008,-0.788462197843272,-19.2097356,-20.25016,116.68698,57.6687350564317,0.0779007490997184,0.155801498199437,0.0779007490997184,0.156815657233652,-0.0802426554054454,0.0765730018282069,1.2190268
