phase_percent,angle_mean_deg,angle_std_deg,velocity_mean_deg_s,velocity_std_deg_s,torque_mean,torque_std
44,-8.29006035866637,4.1175928440749,88.4777921308674,46.3378477896184,-8.77560503941541,3.81260095779324
45,-7.0543697008931,3.88480522799191,86.5356589834314,45.4745913545121,-9.56091453956716,3.79113799272578
46,-5.76295758867941,3.67068286542047,83.7078406878502,43.7458972856177,-10.3706702329804,3.78621996980421
47,-4.49677071695399,3.53736802032746,81.0572336601912,42.4017195455483,-11.2093598880484,3.79490310897268
48,-3.30535138365685,3.43157138244241,78.7137567967145,40.6916558888826,-12.0870951809619,3.8142893424357
49,-2.23537648744288,3.34582915968827,77.006547193281,39.1854133172807,-13.0034533092014,3.84858937383954
50,-1.28859132532432,3.32819916863087,75.4590349838434,37.8643729316392,-13.9406656883895,3.90939338937334
51,-0.381545545896183,3.23551540889111,73.6393586933328,36.3481863861528,-14.9114608001273,3.98992006178919
52,0.467781210859947,3.20826887837195,70.9540600594427,35.0886479800325,-15.8890610420815,4.09450884412716
53,1.31908302677694,3.27877419680547,67.1787211727159,33.1953303632158,-16.9016321598489,4.23704442923378
54,2.12605204689416,3.39143033372791,63.0319648776765,31.0433523234433,-17.9048089983718,4.40962959317527
55,2.84746976328766,3.53927087905146,59.1041818466728,27.8253455262494,-18.895721600163,4.59255706205904
56,3.51071067446033,3.65838476950646,55.1458609573122,23.8713921688167,-19.8694616806933,4.81020411733717
57,4.11349831335819,3.79053120966191,51.3798837141295,19.6706470864351,-20.8286810643473,5.03268466605373
58,4.68782303331758,3.89544299489877,47.9826999158955,16.1321339324569,-21.7836243874665,5.27145280291684
59,5.21563194073492,3.97241803760821,44.8721240988915,13.5789182964679,-22.7137363643346,5.51374631504985
60,5.6857806157779,4.0245295503456,42.2335016698659,12.2681294728887,-23.6089719155425,5.76712858349982
61,6.11484555616922,4.04163573757569,39.2125259788778,11.6976219396816,-24.4939744128293,6.0257123250437
62,6.50439870489611,4.03305731507913,35.5693587773065,11.7010236824573,-25.3345781089634,6.27841329878313
63,6.84049401490235,3.99438878080514,30.4337198709204,13.8117486532119,-26.1439572259145,6.53699817641762
64,7.11906107338454,3.91470430874237,23.7292547267089,18.7363063988187,-26.9195789814029,6.78601349662969
65,7.32968534279881,3.79628074745917,14.0749045245367,24.7512159540249,-27.6470616724706,7.01108396867391
66,7.41380448516991,3.63613739156774,1.52913839033537,33.457095213753,-28.3254521843915,7.21734993219132
67,7.35599485486088,3.40415034960353,-14.2900144946359,44.2841002375384,-28.9500375876238,7.38214476221115
68,7.08838320064047,3.08847616587956,-34.3464646155195,56.8143018707171,-29.5138783737032,7.49024510096742
69,6.56803665639895,2.7768370335288,-58.1344215449313,69.9046474983552,-29.9626498743006,7.50733546857773
70,5.77469707160796,2.57634454168995,-84.1899078064126,82.6219234885713,-30.2526516444806,7.39506092185234
71,4.73397972235086,2.63555615191776,-110.771656744569,92.6219833435781,-30.3011780891245,7.12340034532954
72,3.41290215691701,3.02968637143372,-136.573182153913,97.4964450095351,-30.0571968276504,6.68689357475428
73,1.76610613606097,3.48234119541034,-159.490245337568,97.2282865652537,-29.4528941913446,6.12171374983942
74,-0.0516271738804117,4.08761428946271,-176.994955488841,92.9735834372901,-28.4410952266943,5.49140396868994
75,-1.91563301093594,4.70905479418852,-189.029856911408,86.8615166365979,-27.0393401534842,4.92089682500157
76,-3.80346407921445,5.16533466504603,-197.030721929023,79.5154585396207,-25.2908517978224,4.52086657929031
77,-5.67644785025475,5.43659535510875,-201.546998654473,71.1797130897991,-23.2032724209786,4.38584650103833
