t_s,mat_tau_L,mat_tau_R,local_ref_single_L,local_ref_single_R,local_deploy_single_L,local_deploy_single_R,local_ref_mcmean_L,local_ref_mcmean_R,local_deploy_mcmean_L,local_deploy_mcmean_R,local_ref_matcfg_L,local_ref_matcfg_R,local_deploy_matcfg_L,local_deploy_matcfg_R
55.6688,-1.99048082302655,0.095119897852582,-2.175346480766799,0.46540714237725267,-2.51590633392334,0.39642709493637085,-2.271739776420639,0.39569093872081595,-2.2903814792633055,0.4354123443365097,-2.151144151445146,0.5267350253641703,-2.069638967514038,0.5617411136627197
55.6788,-1.87473630555103,0.0667265299395317,-1.7456463270753386,0.5850718369374881,-1.7159062623977661,0.5039523839950562,-1.581730269484365,0.5218613829644223,-1.5700404286384582,0.5548485696315766,-2.028511549584286,0.5196635021761925,-1.844928503036499,0.5220624208450317
55.6888,-1.75159323535045,0.16058034570156,-1.73817249178586,0.6322926181158377,-1.4233829975128174,0.5516140460968018,-1.598951735310975,0.5810184174847912,-1.516629195213318,0.6105941295623779,-1.8022941884064707,0.5970314954559874,-1.7235881090164185,0.5251964926719666
55.6988,-1.57797187682854,0.221103869561593,-1.8722077675046993,0.6398452489513904,-1.5763211250305176,0.560813844203949,-1.8773248958492723,0.5968336830734164,-1.7540260553359985,0.6213599681854248,-1.55620846953308,0.6039699015281655,-1.7219096422195435,0.513835608959198
55.7088,-1.56038230498823,0.253219375286201,-1.6475298588523393,0.5778132718243834,-1.3843467235565186,0.5117761492729187,-1.7144441196554052,0.546292768544794,-1.607413101196289,0.5685179054737091,-1.526322332440488,0.5776833468346014,-1.6500484943389893,0.6112403869628906
55.7188,-1.56752583322943,0.261141127841025,-1.4761394816598705,0.5446978698366083,-1.2800750732421875,0.4827636480331421,-1.550449981517624,0.5187028029512601,-1.5070279836654663,0.5369730949401855,-1.5036480521622315,0.5348137787050449,-1.4989409446716309,0.6335746645927429
55.7288,-1.57702394802334,0.257926831538629,-1.5208169449406166,0.51546069085725,-1.4487882852554321,0.45665857195854187,-1.6121654213145422,0.49369897911374905,-1.6287817358970642,0.5066278576850891,-1.442037631588735,0.48937881163222696,-1.5723885297775269,0.6148899793624878
55.7388,-1.58689484099926,0.243042411498932,-1.4075165452491867,0.4711203368552013,-1.2472000122070312,0.4309847354888916,-1.465990951355512,0.45483968875034453,-1.429047703742981,0.4660214364528656,-1.4062622521050507,0.4446858054335406,-1.5978302955627441,0.5782636404037476
55.7488,-1.61874571639306,0.209456633811143,-1.4874655891354818,0.4333103964418208,-1.2635807991027832,0.40665629506111145,-1.5248740817492412,0.4203913739610384,-1.4295862913131714,0.4314799666404724,-1.4135720604473982,0.3853508914234934,-1.5052160024642944,0.5193818211555481
55.7588,-1.62329180133026,0.152749377509453,-1.3506425885478421,0.3656090302475458,-1.1635247468948364,0.349738746881485,-1.368175419659576,0.3545044202899721,-1.2837919473648072,0.36512901782989504,-1.3831850265196253,0.30803301009427253,-1.4131929874420166,0.4656515121459961
55.7688,-1.68020454024607,0.0984990892295487,-1.2137265602255611,0.2532390194098848,-1.2303725481033325,0.2435775250196457,-1.2014434959442069,0.24396700670752547,-1.2274296641349793,0.2570679172873497,-1.3516869831724536,0.25790617839328084,-1.3471709489822388,0.4119357764720917
55.7788,5.05487417629052,0.0511436179979287,-0.7927495047678815,0.16217313822807242,-1.0108309984207153,0.14864709973335266,-0.7969875891514692,0.15687594228686813,-0.866005802154541,0.17093991339206696,-0.5516869831724536,0.23268904519345512,-1.2512307167053223,0.34371206164360046
55.7888,0.633504660907857,0.0475256692832069,0.0072504952321185145,0.20036426309464495,-0.21083104610443115,0.1770046055316925,0.0030124108485308,0.1900879373172179,-0.06600581239908934,0.20728026628494262,0.24831301682754647,0.2330139680537003,-1.2330454587936401,0.3010653555393219
55.7988,4.14352995704292,0.0675770580459647,0.8072504952321186,0.25778312846676377,0.5891689658164978,0.2320895940065384,0.7858782976611309,0.24753367442867047,0.6917665481567383,0.2703457951545715,0.3852468265198714,0.26390525273636595,-0.43304547667503357,0.2839449346065521
55.8088,3.34098698645373,0.118245966893286,1.2172305227500986,0.36794616877957803,1.0386693477630615,0.34026387333869934,1.1915615866926899,0.35683647187180867,1.087730300426483,0.37700682282447817,0.6914922957811237,0.2991548793934791,0.3669545352458954,0.30015215277671814
55.8188,2.79023593715821,0.13413424080949,1.1789760113722076,0.3721881521128217,1.1361526250839233,0.338844895362854,1.2298841684779132,0.3560081654890526,1.1523452520370483,0.37280781865119933,0.987709057389603,0.3002404617062264,0.5390233993530273,0.3296714127063751
55.8288,2.42673556507864,0.142185386908092,1.4565460702186144,0.37008275064063456,1.4787763357162476,0.34213536977767944,1.4946841538673312,0.358235876162324,1.4475553631782532,0.373381569981575,1.272403056970966,0.30688850345009905,0.8851078152656555,0.37687405943870544
55.8388,2.16341485186719,0.139868657732831,1.638308540003031,0.22406142007228455,1.665466070175171,0.186624214053154,1.5833455643523449,0.20952577896101016,1.5731958031654358,0.22975267022848128,1.5919914818063243,0.29818547486914204,1.148540735244751,0.38299617171287537
55.8488,2.13841177773588,0.13146842311038,2.0070375303566514,0.2570943622433395,2.0278940200805664,0.21606603264808655,1.910711724880331,0.23850551744939774,1.9280566811561584,0.26125162094831467,1.9924485157738416,0.287934436860305,1.3980586528778076,0.3826560974121094
55.8588,2.18523740225744,0.0999527927391869,2.2212507242542627,0.32189491951460547,2.0841188430786133,0.28100264072418213,2.2518993269230285,0.3039294237574703,2.1538212299346924,0.32725493907928466,2.262067154211005,0.26351872430562295,1.683366060256958,0.37159138917922974
55.8688,2.13895281141409,0.0677456115665489,2.998694897716886,0.3161847352437678,2.5910258293151855,0.2816721796989441,2.996971499851254,0.302323522816437,2.8438775300979615,0.32827192097902297,2.529089230935669,0.25423071874984327,2.07627534866333,0.362355500459671
55.8788,2.03227118365142,0.0461234449063516,3.348556715633249,0.22413886641328118,2.9476511478424072,0.1631210297346115,3.435683607921424,0.1994140154520228,3.2767444133758543,0.22468170374631882,2.7432446859702773,0.254713133565541,2.4444103240966797,0.3335517644882202
55.8888,1.94369061551251,0.0139861124626753,2.9705449907719297,0.1668782641528873,2.739089012145996,0.05860750377178192,2.8745442489833772,0.11229772414413212,2.7988500356674195,0.13099217233248056,2.9342724844614088,0.2625670246927239,2.6664836406707764,0.31526079773902893
55.8988,1.76073386217638,-0.0177348521018909,3.2200816740541955,0.27554335800355767,3.131251335144043,0.14387524127960205,3.1347355495249896,0.1942395538024828,3.077021527290344,0.21287694349884986,3.000494351358597,0.3035735992068398,2.846924304962158,0.31742000579833984
55.9088,1.53141699868673,-0.0194280614503838,3.2267337674910075,0.30408942889754664,3.1628940105438232,0.16969408094882965,3.1231535522185436,0.23541153947424537,3.075431299209595,0.236229407787323,3.0110198037461413,0.3663876217085522,3.043825626373291,0.30345141887664795
55.9188,1.48872412786701,0.0116303655513546,3.1996122534322424,0.3665008129581419,3.0796988010406494,0.24406659603118896,3.0678862429007188,0.29747527300826515,3.022095727920532,0.29567113518714905,3.0619877393299513,0.4289645188378442,3.1131696701049805,0.2889244854450226
55.9288,1.35975350922861,0.04694943488874,3.1329486130327946,0.3952624035929171,2.9988224506378174,0.2855933606624603,2.9929820152531583,0.3298077203937447,2.960900592803955,0.32565786242485045,3.034160420785294,0.48100595911124583,3.1112167835235596,0.3165135383605957
55.9388,1.27333116263589,0.0938467953572898,3.0827271534486234,0.4342985323529408,2.9437105655670166,0.3402338922023773,2.9435062117084287,0.3640944257536606,2.92056884765625,0.36095433682203293,2.9675336815899827,0.519472075030188,3.1511311531066895,0.3586582839488983
55.9488,1.17427577361077,0.128224391519231,3.0046489383766195,0.45719664661095144,2.870685338973999,0.38532862067222595,2.894577529227923,0.39885904783705345,2.8780369758605957,0.3990072518587112,2.8253672557691942,0.5486354032819966,3.1045081615448,0.3913831412792206
55.9588,1.07769664028718,0.185938202754397,2.9111029033321287,0.5280183672408252,2.8200559616088867,0.4496985971927643,2.834814200769399,0.46056144242686115,2.805188751220703,0.45982699692249296,2.636567528263704,0.5825929816341426,3.0293946266174316,0.4328233301639557
55.9688,1.01963878815301,0.255991345858435,2.468563543393438,0.513858230069531,2.471076250076294,0.4408227801322937,2.4444614506547198,0.45328361962501484,2.4108861684799194,0.45491849482059477,2.446284356911869,0.6135034456206014,2.875269889831543,0.4566737115383148
55.9788,0.98069872538021,0.34467480333872,2.158371475125498,0.6176637195026169,2.2171437740325928,0.5526034832000732,2.1775520139109448,0.5662123193957431,2.1497063755989076,0.570594123005867,2.2525326561871704,0.6604744152646775,2.693014621734619,0.5068575739860535
55.9888,0.953514062334754,0.406908374728795,2.0362878672001186,0.6333115155005046,2.119656801223755,0.598581075668335,2.0886479188342046,0.6046487666902715,2.0573026657104494,0.611721646785736,2.043398154357473,0.6604580593939642,2.5136213302612305,0.5503139495849609
55.9988,0.975844057007752,-1.16261578519157,1.8878604352166009,-0.16668848449949547,2.0178542137145996,-0.2014188915491104,1.9746749700096125,-0.19535123330972862,1.966303563117981,-0.18827834278345107,1.872892253301631,-0.13954194060603586,2.3399813175201416,0.6042249798774719
56.0088,1.02314105380444,-0.849338232177355,1.7815822045109726,-0.8922553321579599,1.8734869956970215,-1.001418948173523,1.8470957638774135,-0.938699584413652,1.8549586415290833,-0.9449893653392791,1.72854365869161,-0.869148802817988,2.1350045204162598,0.6316633224487305
56.0188,0.985639152785386,-0.780832378971062,1.6748324526642495,-0.6940884474715631,1.5740872621536255,-0.8163260817527771,1.6480962925028706,-0.7370189983151241,1.6463145017623901,-0.7536577463150025,1.5343732943708694,-0.7743890020601416,2.0074398517608643,-0.1683366596698761
56.0288,0.93105663032237,-0.787126630522318,1.498183732997112,-0.6851846441771022,1.293423056602478,-0.7332025766372681,1.4259785169475059,-0.7060220848858308,1.4062947392463685,-0.7084869921207428,1.360652469433046,-0.765686449766448,1.8623515367507935,-0.918786346912384
56.0388,0.858741646649143,-0.905507871954267,1.0894765588903246,-0.8708767616222303,0.860906183719635,-0.8968501091003418,1.0454985695899766,-0.8814354098788197,1.0171208143234254,-0.8736276268959046,1.2120546527513851,-0.8904703611851147,1.667040228843689,-0.8325642347335815
