Time_s,ref_tau_L,new_tau_L,ref_tau_R,new_tau_R,err_L,err_R
62.7787,12.307235598564148,12.307235598564148,-1.5558932349085808,-1.5558932349085808,0.0,0.0
62.7887,12.21153974533081,12.21153974533081,-2.55077987909317,-2.55077987909317,0.0,0.0
62.7987,11.89563900232315,11.89563900232315,-2.5438470393419266,-2.5438470393419266,0.0,0.0
62.8087,11.944410502910614,11.944410502910614,-2.412109673023224,-2.412109673023224,0.0,0.0
62.8187,11.7088383436203,11.7088383436203,-2.1429529041051865,-2.1429529041051865,0.0,0.0
62.8287,11.629034578800201,11.629034578800201,-1.8905360251665115,-1.8905360251665115,0.0,0.0
62.8387,10.738048553466797,10.738048553466797,-1.8271305039525032,-1.8271305039525032,0.0,0.0
62.8487,10.44343650341034,10.44343650341034,-1.8131955340504646,-1.8131955340504646,0.0,0.0
62.8587,9.849170744419098,9.849170744419098,-1.7040934413671494,-1.7040934413671494,0.0,0.0
62.8687,9.601041376590729,9.601041376590729,-1.3745132088661194,-1.3745132088661194,0.0,0.0
62.8787,9.331154823303223,9.331154823303223,-3.4568412601947784,-3.4568412601947784,0.0,0.0
62.8887,11.232877671718597,11.232877671718597,-8.687658905982971,-8.687658905982971,0.0,0.0
62.8987,10.708394944667816,10.708394944667816,-9.692367017269135,-9.692367017269135,0.0,0.0
62.9087,11.215693652629852,11.215693652629852,-10.254619717597961,-10.254619717597961,0.0,0.0
62.9187,11.209090054035187,11.209090054035187,-10.136857330799103,-10.136857330799103,0.0,0.0
62.9287,11.190029382705688,11.190029382705688,-10.09842038154602,-10.09842038154602,0.0,0.0
62.9387,11.004612743854523,11.004612743854523,-10.072525441646576,-10.072525441646576,0.0,0.0
62.9487,11.20398223400116,11.20398223400116,-10.078204572200775,-10.078204572200775,0.0,0.0
62.9587,11.235388219356537,11.235388219356537,-9.9723020195961,-9.9723020195961,0.0,0.0
62.9687,11.430362462997437,11.430362462997437,-8.496445119380951,-8.496445119380951,0.0,0.0
62.9787,11.499103903770447,11.499103903770447,-8.903275430202484,-8.903275430202484,0.0,0.0
62.9887,11.754889190196991,11.754889190196991,-8.912741839885712,-8.912741839885712,0.0,0.0
62.9987,11.74328237771988,11.74328237771988,-8.709585070610046,-8.709585070610046,0.0,0.0
63.0087,11.722418367862701,11.722418367862701,-8.653696775436401,-8.653696775436401,0.0,0.0
63.0187,10.917669832706451,10.917669832706451,-8.021054863929749,-8.021054863929749,0.0,0.0
63.0287,10.750477910041809,10.750477910041809,-7.5209203362464905,-7.5209203362464905,0.0,0.0
63.0387,10.60811161994934,10.60811161994934,-7.054017931222916,-7.054017931222916,0.0,0.0
63.0487,10.61531513929367,10.61531513929367,-7.599550187587738,-7.599550187587738,0.0,0.0
63.0587,10.494280457496643,10.494280457496643,-7.285251170396805,-7.285251170396805,0.0,0.0
63.0687,10.475125908851624,10.475125908851624,-7.5451406836509705,-7.5451406836509705,0.0,0.0
63.0787,10.621574521064758,10.621574521064758,-6.87704399228096,-6.87704399228096,0.0,0.0
63.0887,10.707858502864838,10.707858502864838,-6.784539967775345,-6.784539967775345,0.0,0.0
63.0987,10.487268269062042,10.487268269062042,-6.2578292191028595,-6.2578292191028595,0.0,0.0
63.1087,10.523781180381775,10.523781180381775,-5.595898926258087,-5.595898926258087,0.0,0.0
63.1187,10.455147922039032,10.455147922039032,-3.65338571369648,-3.65338571369648,0.0,0.0
63.1287,10.53561419248581,10.53561419248581,-2.5894812494516373,-2.5894812494516373,0.0,0.0
63.1387,10.485551655292511,10.485551655292511,-1.7783839255571365,-1.7783839255571365,0.0,0.0
63.1487,10.430426895618439,10.430426895618439,0.22160050459206104,0.22160050459206104,0.0,0.0
63.1587,10.412203967571259,10.412203967571259,0.6919422000646591,0.6919422000646591,0.0,0.0
63.1687,10.028952956199646,10.028952956199646,2.6645542681217194,2.6645542681217194,0.0,0.0
63.1787,9.668948650360107,9.668948650360107,5.053007751703262,5.053007751703262,0.0,0.0
63.1887,8.742697834968567,8.742697834968567,7.81153678894043,7.81153678894043,0.0,0.0
63.1987,7.921755015850067,7.921755015850067,8.90116810798645,8.90116810798645,0.0,0.0
63.2087,6.853099465370178,6.853099465370178,10.433332622051239,10.433332622051239,0.0,0.0
63.2187,5.681326389312744,5.681326389312744,11.100178956985474,11.100178956985474,0.0,0.0
63.2287,4.201444834470749,4.201444834470749,11.788771748542786,11.788771748542786,0.0,0.0
63.2387,2.897680029273033,2.897680029273033,12.212001085281372,12.212001085281372,0.0,0.0
63.2487,1.2529542669653893,1.2529542669653893,12.40027517080307,12.40027517080307,0.0,0.0
63.2587,0.1509156497195363,0.1509156497195363,12.522425651550293,12.522425651550293,0.0,0.0
63.2687,-0.7337837666273117,-0.7337837666273117,12.593083083629608,12.593083083629608,0.0,0.0
63.2787,-1.0941081494092941,-1.0941081494092941,12.595640122890472,12.595640122890472,0.0,0.0
63.2887,-0.5579364113509655,-0.5579364113509655,12.529284060001373,12.529284060001373,0.0,0.0
63.2987,-0.04286683746613562,-0.04286683746613562,12.375280559062958,12.375280559062958,0.0,0.0
63.3087,-0.43387901969254017,-0.43387901969254017,12.349701225757599,12.349701225757599,0.0,0.0
63.3187,-2.407684028148651,-2.407684028148651,12.641232311725616,12.641232311725616,0.0,0.0
63.3287,-2.5904888659715652,-2.5904888659715652,12.829244434833527,12.829244434833527,0.0,0.0
63.3387,-2.787465825676918,-2.787465825676918,12.793048918247223,12.793048918247223,0.0,0.0
63.3487,-2.0178689807653427,-2.0178689807653427,12.610257267951965,12.610257267951965,0.0,0.0
63.3587,-1.958625689148903,-1.958625689148903,12.541848421096802,12.541848421096802,0.0,0.0
63.3687,-2.495005801320076,-2.495005801320076,12.298358380794525,12.298358380794525,0.0,0.0
63.3787,-4.236816018819809,-4.236816018819809,12.658249139785767,12.658249139785767,0.0,0.0
63.3887,-4.657617956399918,-4.657617956399918,12.709484696388245,12.709484696388245,0.0,0.0
63.3987,-4.9227480590343475,-4.9227480590343475,12.133655548095703,12.133655548095703,0.0,0.0
63.4087,-4.967878013849258,-4.967878013849258,12.44199424982071,12.44199424982071,0.0,0.0
63.4187,-4.990777373313904,-4.990777373313904,10.858681797981262,10.858681797981262,0.0,0.0
63.4287,-3.9478330314159393,-3.9478330314159393,10.588783621788025,10.588783621788025,0.0,0.0
63.4387,-3.6893389374017715,-3.6893389374017715,10.070074796676636,10.070074796676636,0.0,0.0
63.4487,-7.710869014263153,-7.710869014263153,9.625804424285889,9.625804424285889,0.0,0.0
63.4587,-6.697263568639755,-6.697263568639755,9.400691986083984,9.400691986083984,0.0,0.0
63.4687,-8.236647248268127,-8.236647248268127,10.382273197174072,10.382273197174072,0.0,0.0
63.4787,-9.507996439933777,-9.507996439933777,10.274709463119507,10.274709463119507,0.0,0.0
63.4887,-9.738880097866058,-9.738880097866058,10.938184261322021,10.938184261322021,0.0,0.0
63.4987,-9.816498756408691,-9.816498756408691,11.202133297920227,11.202133297920227,0.0,0.0
63.5087,-10.045931339263916,-10.045931339263916,11.407154202461243,11.407154202461243,0.0,0.0
63.5187,-9.114444851875305,-9.114444851875305,11.477109789848328,11.477109789848328,0.0,0.0
63.5287,-8.293319642543793,-8.293319642543793,11.369757056236267,11.369757056236267,0.0,0.0
63.5387,-8.113510608673096,-8.113510608673096,10.844505429267883,10.844505429267883,0.0,0.0
63.5487,-7.807635962963104,-7.807635962963104,11.059260964393616,11.059260964393616,0.0,0.0
63.5587,-7.524169385433197,-7.524169385433197,10.843121409416199,10.843121409416199,0.0,0.0
63.5687,-6.968746930360794,-6.968746930360794,10.611860454082489,10.611860454082489,0.0,0.0
63.5787,-6.880006939172745,-6.880006939172745,10.553676187992096,10.553676187992096,0.0,0.0
63.5887,-5.914944112300873,-5.914944112300873,10.468904078006744,10.468904078006744,0.0,0.0
63.5987,-5.73580875992775,-5.73580875992775,10.822210013866425,10.822210013866425,0.0,0.0
63.6087,-5.733559727668762,-5.733559727668762,11.186424493789673,11.186424493789673,0.0,0.0
63.6187,-5.93228280544281,-5.93228280544281,11.178826689720154,11.178826689720154,0.0,0.0
63.6287,-6.367844492197037,-6.367844492197037,11.991189122200012,11.991189122200012,0.0,0.0
63.6387,-6.749015897512436,-6.749015897512436,11.82099312543869,11.82099312543869,0.0,0.0
63.6487,-6.505619287490845,-6.505619287490845,11.910770237445831,11.910770237445831,0.0,0.0
63.6587,-6.0899318754673,-6.0899318754673,11.46408498287201,11.46408498287201,0.0,0.0
63.6687,-5.406281501054764,-5.406281501054764,11.245582401752472,11.245582401752472,0.0,0.0
63.6787,-4.338821768760681,-4.338821768760681,10.407608449459076,10.407608449459076,0.0,0.0
63.6887,-3.238704353570938,-3.238704353570938,10.389478504657745,10.389478504657745,0.0,0.0
63.6987,-1.9450624287128448,-1.9450624287128448,9.726093113422394,9.726093113422394,0.0,0.0
63.7087,-0.4760272800922394,-0.4760272800922394,9.413909018039703,9.413909018039703,0.0,0.0
63.7187,0.32472118735313416,0.32472118735313416,9.226765036582947,9.226765036582947,0.0,0.0
63.7287,3.487887382507324,3.487887382507324,8.74061644077301,8.74061644077301,0.0,0.0
63.7387,3.9754311740398407,3.9754311740398407,8.741634786128998,8.741634786128998,0.0,0.0
63.7487,6.362997740507126,6.362997740507126,8.41820240020752,8.41820240020752,0.0,0.0
63.7587,7.660622298717499,7.660622298717499,8.030836880207062,8.030836880207062,0.0,0.0
63.7687,8.420155048370361,8.420155048370361,7.213161885738373,7.213161885738373,0.0,0.0
63.7787,9.82341080904007,9.82341080904007,6.518455445766449,6.518455445766449,0.0,0.0
63.7887,10.426368713378906,10.426368713378906,6.730980277061462,6.730980277061462,0.0,0.0
63.7987,10.888948738574982,10.888948738574982,5.870429277420044,5.870429277420044,0.0,0.0
63.8087,10.901966392993927,10.901966392993927,5.013429522514343,5.013429522514343,0.0,0.0
63.8187,12.149547636508942,12.149547636508942,3.0401797592639923,3.0401797592639923,0.0,0.0
63.8287,11.976560354232788,11.976560354232788,1.2141690775752068,1.2141690775752068,0.0,0.0
63.8387,12.596205174922943,12.596205174922943,-0.2100055944174528,-0.2100055944174528,0.0,0.0
63.8487,12.536986470222473,12.536986470222473,-0.9957757964730263,-0.9957757964730263,0.0,0.0
